name,popularity,duration_ms,artist,artists_list,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_name,artist_popularity,artist_followers,artist_genres,music_file
A Sky Full of Stars,87,267867,Coldplay,Coldplay,2014-05-19,0.00617,0.545,0.675,0.00197,6,0.209,-6.474,1,0.0279,124.97,4,0.162,Coldplay,85,47803752,"['permanent wave', 'pop']",A Sky Full of Stars - Coldplay (128).wav
A Year Ago,79,170830,James Arthur,James Arthur,2023-05-12,0.587,0.548,0.474,0.0,8,0.121,-8.743,1,0.0446,119.986,4,0.261,James Arthur,79,14141626,"['pop', 'talent show', 'uk pop']",A Year Ago - James Arthur (128).wav
Acapulco,79,139672,Jason Derulo,Jason Derulo,2021-09-03,0.051,0.774,0.792,0.0,10,0.155,-4.021,1,0.0523,122.062,4,0.507,Jason Derulo,76,11927147,"['dance pop', 'pop']",Acapulco - Jason Derulo (128).wav
DON'T YOU WORRY,74,196364,Black Eyed Peas,"Black Eyed Peas,Shakira,David Guetta",2022-06-17,0.203,0.816,0.875,0.0,11,0.209,-4.821,1,0.0311,131.958,4,0.491,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",Adore You - Harry Styles (128).wav
Adore You,71,278747,Miley Cyrus,Miley Cyrus,2013-10-04,0.111,0.583,0.655,3.57e-06,0,0.113,-5.407,1,0.0315,119.759,4,0.201,Miley Cyrus,82,22491587,['pop'],Adore You - Miley Cyrus (128).wav
Adore You,86,207133,Harry Styles,Harry Styles,2019-12-13,0.0237,0.676,0.771,7e-06,8,0.102,-3.675,1,0.0483,99.048,4,0.569,Harry Styles,83,29970267,['pop'],Adore You - Miley Cyrus (128).wav
Agora Hills,81,265360,Doja Cat,Doja Cat,2023-09-20,0.183,0.755,0.687,0.000177,8,0.125,-6.247,0,0.101,123.01,4,0.381,Doja Cat,87,27056797,"['dance pop', 'pop']",Agora Hills - Doja Cat (128).wav
Alcohol,62,171841,Marshmello,"Marshmello,Anuel AA",2023-11-01,0.314,0.775,0.755,0.0,1,0.0853,-4.077,1,0.0711,117.992,4,0.565,Marshmello,80,35035483,"['brostep', 'edm', 'pop', 'progressive electro house']",Alcohol - Marshmello Anuel AA (128).wav
Alejandro,70,274213,Lady Gaga,Lady Gaga,2009-08-05,0.000358,0.626,0.799,0.00155,11,0.36,-6.612,0,0.046,98.992,4,0.369,Lady Gaga,82,28321662,"['art pop', 'dance pop', 'pop']",Alejandro - Lady Gaga (128).wav
Alien Boy,67,164313,Oliver Tree,Oliver Tree,2020-07-17,0.0597,0.792,0.576,0.0,1,0.186,-7.046,1,0.132,130.135,4,0.52,Oliver Tree,71,2361006,['alternative hip hop'],Alien Boy - Oliver Tree (128).wav
ALIEN SUPERSTAR,78,215460,Beyoncé,Beyoncé,2022-07-29,0.00453,0.545,0.641,6.59e-05,10,0.171,-6.398,0,0.0998,121.892,4,0.464,Beyoncé,83,36174736,"['pop', 'r&b']",ALIEN SUPERSTAR - Beyoncé (128).wav
All About That Bass,75,187920,Meghan Trainor,Meghan Trainor,2015-01-09,0.0573,0.807,0.887,2.87e-06,9,0.124,-3.726,1,0.0503,134.052,4,0.961,Meghan Trainor,74,14121696,"['hip pop', 'pop']",All About That Bass - Meghan Trainor (128).wav
All Falls Down,83,223507,Kanye West,"Kanye West,Syleena Johnson",2004-02-10,0.149,0.657,0.734,0.0,8,0.139,-4.832,0,0.484,91.03,4,0.434,Kanye West,88,21786460,"['chicago rap', 'hip hop', 'rap']",All Falls Down - Kanye West Syleena Johnson (128).wav
All Girls Are The Same,86,165820,Juice WRLD,Juice WRLD,2018-12-10,0.0769,0.671,0.529,0.000335,0,0.0856,-7.226,1,0.307,161.989,4,0.203,Juice WRLD,84,31181079,"['chicago rap', 'melodic rap', 'rap']",All Girls Are The Same - Juice WRLD (128).wav
All I Want Is You (feat. J. Cole),76,295920,Miguel,"Miguel, J. Cole",2010-11-26,0.0728,0.776,0.603,6.25e-05,5,0.111,-5.696,1,0.0343,96.888,4,0.921,Miguel,76,4834768,"['r&b', 'urban contemporary']",All I Want Is You (feat. J. Cole) - Miguel j.cole J. Cole.wav
All My Life (feat. J. Cole),78,223879,J. Cole,"Lil Durk, J. Cole",2023-05-26,0.0449,0.787,0.57,0.0,3,0.135,-5.881,1,0.225,142.974,4,0.733,J. Cole,84,21778723,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",All My Life (feat. J. Cole) - Lil Durk J. Cole (128).wav
All The Stars (with SZA),86,232187,Kendrick Lamar,"Kendrick Lamar, SZA",2018-02-09,0.0605,0.698,0.633,0.000194,8,0.0926,-4.946,1,0.0597,96.924,4,0.552,Kendrick Lamar,86,25786424,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",All The Stars - Kendrick Lamar SZA (128).wav
All We Got (feat. KIDDO),63,190218,Robin Schulz,"Robin Schulz,KIDDO",2020-10-16,0.286,0.504,0.76,0.0,4,0.151,-4.246,1,0.0426,183.933,4,0.64,Robin Schulz,75,3096894,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']",All We Got (feat. KIDDO) - Robin Schulz KIDDO (128).wav
all-american bitch,89,165834,Olivia Rodrigo,Olivia Rodrigo,2023-09-08,0.254,0.43,0.692,4.17e-06,6,0.148,-4.234,1,0.0429,156.261,4,0.401,Olivia Rodrigo,87,29516782,['pop'],all-american bitch - Olivia Rodrigo (128).wav
Alone (with Nicki Minaj),65,185120,Kim Petras,"Kim Petras, Nicki Minaj",2023-06-23,0.0776,0.687,0.523,0.0,3,0.134,-6.702,0,0.0412,136.993,4,0.148,Kim Petras,73,998311,"['alt z', 'pop', 'transpop']",Alone - Kim Petras Nicki Minaj (128).wav
BABY HELLO,79,222462,Bizarrap,"Rauw Alejandro, Bizarrap",2023-07-07,0.164,0.773,0.893,3.01e-06,1,0.429,-3.733,0,0.0483,130.013,4,0.842,Bizarrap,84,13073464,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",Alone - Marshmello (128).wav
Shallow,86,215733,Lady Gaga,"Lady Gaga, Bradley Cooper",2018-10-05,0.371,0.572,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,4,0.323,Lady Gaga,82,28321662,"['art pop', 'dance pop', 'pop']",Alone - Marshmello (128).wav
"Alone, Pt. II",75,179053,Ava Max,"Alan Walker, Ava Max",2021-11-26,0.539,0.673,0.659,0.0,3,0.129,-4.493,0,0.0439,88.011,4,0.628,Ava Max,76,6150536,['pop'],"Alone, Pt. II - Alan Walker Ava Max (128).wav"
Always,57,167783,James Arthur,James Arthur,2021-11-05,0.0102,0.594,0.719,1.29e-06,2,0.143,-6.83,1,0.0289,121.995,4,0.514,James Arthur,79,14141626,"['pop', 'talent show', 'uk pop']",Always - James Arthur (128).wav
Always Remember Us This Way,84,210200,Lady Gaga,Lady Gaga,2018-10-05,0.299,0.553,0.502,0.0,0,0.764,-5.972,1,0.0409,129.976,4,0.296,Lady Gaga,82,28321662,"['art pop', 'dance pop', 'pop']",Always Remember Us This Way - Lady Gaga (128).wav
AMARGURA,90,170480,KAROL G,KAROL G,2023-02-24,0.183,0.92,0.696,0.0,6,0.149,-3.356,0,0.0742,106.966,4,0.545,KAROL G,88,41121547,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",AMARGURA - KAROL G (128).wav
AMERICA HAS A PROBLEM,76,198898,Beyoncé,Beyoncé,2022-07-29,0.00348,0.789,0.614,0.00152,1,0.283,-6.491,1,0.0579,126.035,4,0.108,Beyoncé,83,36174736,"['pop', 'r&b']",AMERICA HAS A PROBLEM - Beyoncé (128).wav
Problem,77,193920,Ariana Grande,"Ariana Grande,Iggy Azalea",2014-08-25,0.0192,0.66,0.805,8.83e-06,1,0.159,-5.352,0,0.153,103.008,4,0.625,Ariana Grande,85,94489318,['pop'],AMERICA HAS A PROBLEM - Beyoncé (128).wav
Angels Like You,89,196453,Miley Cyrus,Miley Cyrus,2020-11-27,0.0981,0.672,0.642,0.0,5,0.1,-4.035,1,0.0313,121.981,4,0.494,Miley Cyrus,82,22491587,['pop'],Angels Like You - Miley Cyrus (128).wav
Call You Mine,73,217640,The Chainsmokers,"The Chainsmokers,Bebe Rexha",2019-12-06,0.204,0.585,0.696,0.0,4,0.344,-5.6,0,0.0307,104.01,4,0.522,The Chainsmokers,77,20390037,['pop'],Angels Like You - Miley Cyrus (128).wav
Someone Like You,82,285240,Adele,Adele,2011-01-24,0.893,0.556,0.319,0.0,9,0.0996,-8.251,1,0.0281,135.187,4,0.294,Adele,83,52229537,"['british soul', 'pop', 'pop soul', 'uk pop']",Angels Like You - Miley Cyrus (128).wav
Another One Bites The Dust - Remastered 2011,76,214653,Queen,Queen,1980-06-27,0.112,0.933,0.528,0.329,5,0.163,-6.472,0,0.162,109.975,4,0.756,Queen,81,48677298,"['classic rock', 'glam rock', 'rock']",Another One Bites The Dust (Remastered 2011) - Queen (128).wav
Anti-Hero,93,200690,Taylor Swift,Taylor Swift,2022-10-21,0.13,0.637,0.643,1.8e-06,4,0.142,-6.571,1,0.0519,97.008,4,0.533,Taylor Swift,100,91129614,['pop'],Anti-Hero - Taylor Swift (128).wav
Apologize,76,208107,OneRepublic,OneRepublic,2007-11-20,0.363,0.593,0.74,2.22e-05,8,0.102,-6.12,1,0.0339,118.008,4,0.502,OneRepublic,80,16390313,"['piano rock', 'pop']",Apologize - OneRepublic (128).wav
Apparently,72,292865,J. Cole,J. Cole,2014-12-09,0.605,0.802,0.544,0.0,5,0.102,-9.212,1,0.0686,133.992,4,0.57,J. Cole,84,21778723,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",Apparently - J. Cole (128).wav
Party,81,227629,Bad Bunny,"Bad Bunny,Rauw Alejandro",2022-05-06,0.0151,0.829,0.799,0.000543,9,0.242,-5.389,1,0.0897,97.013,4,0.471,Bad Bunny,96,76065976,"['reggaeton', 'trap latino', 'urbano latino']",Apparently - J. Cole (128).wav
Arabella,80,207357,Arctic Monkeys,Arctic Monkeys,2013-09-09,0.0202,0.579,0.558,1.26e-06,2,0.212,-6.986,1,0.0895,179.949,4,0.506,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Arabella - Arctic Monkeys (128).wav
Are You Ready For Love? - Remastered,65,212440,Elton John,Elton John,2017-11-10,0.308,0.799,0.719,0.00109,2,0.118,-5.179,1,0.032,116.511,4,0.772,Elton John,80,12420077,"['glam rock', 'mellow gold', 'piano rock', 'rock']",Are You Ready For Love (Remastered) - Elton John (128).wav
As It Was,95,167303,Harry Styles,Harry Styles,2022-05-20,0.342,0.52,0.731,0.00101,6,0.311,-5.338,0,0.0557,173.93,4,0.662,Harry Styles,83,29970267,['pop'],As It Was - Harry Styles (128).wav
Awkward,80,178000,SZA,SZA,2022-06-09,0.182,0.618,0.474,0.000122,5,0.108,-12.097,1,0.0789,119.999,4,0.397,SZA,87,15504565,"['pop', 'r&b', 'rap']",Awkward - SZA (128).wav
Baby I'm Yours,73,152613,Arctic Monkeys,Arctic Monkeys,2006-08-14,0.215,0.462,0.595,0.0,2,0.184,-9.363,1,0.0347,113.719,4,0.64,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Baby I m Yours - Arctic Monkeys (128).wav
...Baby One More Time,83,211067,Britney Spears,Britney Spears,1999-01-12,0.202,0.759,0.699,0.000131,0,0.443,-5.745,0,0.0307,92.96,4,0.907,Britney Spears,78,13099866,"['dance pop', 'pop']",Baby One More Time - Britney Spears (128).wav
Baby Don't Hurt Me,88,140018,David Guetta,"David Guetta, Anne-Marie, Coi Leray",2023-04-06,0.00126,0.602,0.91,0.000174,7,0.12,-3.404,1,0.0308,127.944,4,0.228,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",Baby One More Time - Britney Spears (128).wav
"Baby, I'm Jealous (feat. Doja Cat)",63,175873,Bebe Rexha,"Bebe Rexha,Doja Cat",2020-10-09,0.0398,0.737,0.867,0.0,11,0.32,-2.259,0,0.0458,98.05,4,0.506,Bebe Rexha,77,8608960,"['dance pop', 'pop']","Baby, I m Jealous (feat. Doja Cat) - Bebe Rexha Doja Cat (1.wav"
Back To You - From 13 Reasons Why – Season 2 Soundtrack,77,207905,Selena Gomez,Selena Gomez,2018-05-10,0.0945,0.601,0.724,1.68e-06,6,0.12,-4.856,1,0.0486,102.061,4,0.508,Selena Gomez,81,46174412,"['pop', 'post-teen pop']",Back To You - Selena Gomez (128).wav
Bad Commando,53,105002,Rema,Rema,2019-10-04,0.584,0.627,0.512,0.0,1,0.128,-7.401,0,0.123,95.334,4,0.57,Rema,76,3401997,"['afrobeats', 'nigerian pop']",Bad Commando - Rema (128).wav
Be More,71,231684,Stephen Sanchez,Stephen Sanchez,2023-08-03,0.288,0.455,0.429,0.0,3,0.134,-7.155,1,0.025,98.414,3,0.128,Stephen Sanchez,73,948319,['gen z singer-songwriter'],Bad Commando - Rema (128).wav
Be More,66,231684,Stephen Sanchez,Stephen Sanchez,2023-09-22,0.259,0.233,0.421,0.0,3,0.105,-7.095,1,0.0286,98.468,3,0.12,Stephen Sanchez,73,948319,['gen z singer-songwriter'],Bad Commando - Rema (128).wav
No Me Conoce - Remix,85,309120,J Balvin,"Jhayco, J Balvin, Bad Bunny",2019-05-24,0.14,0.804,0.787,0.0,10,0.0927,-3.824,0,0.0746,91.974,4,0.562,J Balvin,83,37770548,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",Bad Commando - Rema (128).wav
bad idea right?,93,184784,Olivia Rodrigo,Olivia Rodrigo,2023-09-08,0.00193,0.627,0.879,6.87e-06,9,0.0647,-3.446,1,0.0955,129.979,4,0.748,Olivia Rodrigo,87,29516782,['pop'],bad idea right - Olivia Rodrigo (128).wav
Bad Liar,83,260773,Imagine Dragons,Imagine Dragons,2018-11-09,0.0722,0.383,0.637,0.0,3,0.368,-6.993,1,0.0703,177.913,4,0.0827,Imagine Dragons,84,50820618,"['modern rock', 'pop', 'rock']",Bad Liar - Imagine Dragons (128).wav
Bad Romance,85,294573,Lady Gaga,Lady Gaga,2009-11-05,0.00314,0.696,0.921,5.24e-05,0,0.0842,-3.755,1,0.0363,119.001,4,0.714,Lady Gaga,82,28321662,"['art pop', 'dance pop', 'pop']",Bad Romance - Lady Gaga (128).wav
Attention,85,208787,Charlie Puth,Charlie Puth,2018-05-11,0.109,0.775,0.613,2.33e-05,3,0.134,-4.586,0,0.0542,100.066,4,0.797,Charlie Puth,79,21620546,"['pop', 'viral pop']",BAD! - XXXTENTACION (128).wav
BAD!,77,94246,XXXTENTACION,XXXTENTACION,2018-12-07,0.0643,0.78,0.492,0.0313,5,0.174,-3.4,0,0.0671,143.983,4,0.374,XXXTENTACION,83,43388933,"['emo rap', 'miami hip hop']",BAD! - XXXTENTACION (128).wav
Baila Baila Baila - Remix,76,235284,Ozuna,"Ozuna,Daddy Yankee,J Balvin,Farruko,Anuel AA",2019-04-25,0.0598,0.785,0.572,0.0,2,0.218,-7.504,1,0.123,100.016,4,0.49,Ozuna,83,37816472,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",Baila Baila Baila (Remix) - Ozuna Daddy Yankee J Balvin F.wav
Bajo El Sol,72,185312,Myke Towers,Myke Towers,2023-08-25,0.227,0.745,0.59,0.0,0,0.108,-3.278,1,0.0966,95.978,4,0.263,Myke Towers,85,13061195,"['reggaeton', 'trap latino', 'urbano latino']",Bajo El Sol - Myke Towers (128).wav
Barbie World (with Aqua) [From Barbie The Album],90,109750,Nicki Minaj,"Nicki Minaj, Ice Spice, Aqua",2023-06-23,0.519,0.77,0.58,0.000127,0,0.233,-8.393,1,0.247,144.072,4,0.753,Nicki Minaj,84,29877494,"['hip pop', 'pop', 'queens hip hop', 'rap']",Barbie_World_with_Aqua_From_Barbie_The_Album_Nicki_Minaj.wav
Beat It,79,258400,Michael Jackson,Michael Jackson,1982-11-30,0.0242,0.776,0.711,0.000353,3,0.234,-9.03,0,0.0473,138.728,4,0.901,Michael Jackson,80,29172879,"['r&b', 'soul']",Beat It - Michael Jackson (128).wav
Beautiful Love - Free Fire,66,207838,Justin Bieber,Justin Bieber,2022-08-30,0.0568,0.789,0.602,1.01e-06,4,0.108,-7.465,0,0.0477,111.022,4,0.525,Justin Bieber,86,74403685,"['canadian pop', 'pop']",Beautiful Love (Free Fire) - Justin Bieber (128).wav
Beauty And A Beat,82,227987,Justin Bieber,"Justin Bieber,Nicki Minaj",2012-06-15,0.000688,0.602,0.843,5.27e-05,0,0.0682,-4.831,1,0.0593,128.003,4,0.526,Justin Bieber,86,74403685,"['canadian pop', 'pop']",Beauty And A Beat - Justin Bieber Nicki Minaj (128).wav
